ID,metaphor,intp,intp_sep,resp,feature
2250473,不安は濃霧だ,intp1,1,怖い,怖い
2250473,不安は濃霧だ,intp2,1,苦しい,苦しい
2250473,家族は納豆だ,intp1,1,暖かい,暖かい
2250473,家族は納豆だ,intp2,1,頼れる,頼れる
2250473,雑巾は亀だ,intp1,1,汚い,汚い
2250473,雑巾は亀だ,intp2,1,貧乏な,貧乏
2250473,魅力は磁石だ,intp1,1,美しい,美しい
2250473,魅力は磁石だ,intp2,1,惹かれる,惹く
2250473,魅力は磁石だ,intp2,2,惹かれる,れる
2250473,議論は戦争だ,intp1,1,長い,長い
2250473,議論は戦争だ,intp2,1,うるさい,うるさい
2250473,権力は麻薬だ,intp1,1,強い,強い
2250473,権力は麻薬だ,intp2,1,恐ろしい,恐ろしい
2250473,あくびは満月だ,intp1,1,退屈な,退屈
2250473,あくびは満月だ,intp2,1,怠惰な,怠惰
2250473,空は鏡だ,intp1,1,青い,青い
2250473,空は鏡だ,intp2,1,綺麗な,綺麗
2250473,休日は道しるべだ,intp1,1,安心する,する
2250473,休日は道しるべだ,intp2,1,癒される,癒す
2250473,休日は道しるべだ,intp2,2,癒される,れる
2250473,記憶は倉庫だ,intp1,1,曖昧な,曖昧
2250473,記憶は倉庫だ,intp2,1,複雑な,複雑
2250473,椿はひとだまだ,intp1,1,美しい,美しい
2250473,椿はひとだまだ,intp2,1,儚い,儚い
2250473,蝶は踊り子だ,intp1,1,綺麗な,綺麗
2250473,蝶は踊り子だ,intp2,1,妖艶な,妖艶
2250473,人生は航海だ,intp1,1,難しい,難しい
2250473,人生は航海だ,intp2,1,大変な,大変
2250473,沈黙は海底だ,intp1,1,静かな,静か
2250473,沈黙は海底だ,intp2,1,怪しい,怪しい
2250473,恋はくす玉だ,intp1,1,熱い,熱い
2250473,恋はくす玉だ,intp2,1,楽しい,楽しい
2250473,心は沼だ,intp1,1,見えない,見える
2250473,心は沼だ,intp2,1,理解できない,できる
2250473,球場はバケツだ,intp1,1,騒々しい,騒々しい
2250473,球場はバケツだ,intp2,1,賑やかな,賑やか
2250473,煙草は時限爆弾だ,intp1,1,臭い,臭い
2250473,煙草は時限爆弾だ,intp2,1,迷惑な,迷惑
2250473,笑顔は花だ,intp1,1,美しい,美しい
2250473,笑顔は花だ,intp2,1,嬉しい,嬉しい
3700270,椿はひとだまだ,intp1,1,美しい,美しい
3700270,あくびは満月だ,intp2,1,口を動かす,動かす
3700270,煙草は時限爆弾だ,intp1,1,白い棒,白い
3700270,権力は麻薬だ,intp2,1,うぬぼれ,うぬぼれる
3700270,恋はくす玉だ,intp2,1,はかない,はかない
3700270,笑顔は花だ,intp1,1,美しい,美しい
3700270,笑顔は花だ,intp2,1,かわいい,かわいい
3700270,蝶は踊り子だ,intp1,1,華やか,華やか
3700270,蝶は踊り子だ,intp2,1,美しい,美しい
3700270,魅力は磁石だ,intp1,1,引き寄せ,引き寄せる
4189255,恋はくす玉だ,intp1,1,ドキドキする,する
4189255,恋はくす玉だ,intp2,1,儚い,儚い
4189255,恋はくす玉だ,intp3,1,切ない,切ない
4189255,記憶は倉庫だ,intp1,1,覚える,覚える
4189255,記憶は倉庫だ,intp2,1,考える,考える
4189255,記憶は倉庫だ,intp3,1,理解する,する
4189255,魅力は磁石だ,intp1,1,かっこいい,かっこいい
4189255,魅力は磁石だ,intp2,1,可愛い,可愛い
4189255,魅力は磁石だ,intp3,1,目を引く,引く
4189255,空は鏡だ,intp1,1,飛ぶ,飛ぶ
4189255,空は鏡だ,intp2,1,青い,青い
4189255,空は鏡だ,intp3,1,明るい,明るい
4189255,心は沼だ,intp1,1,ドキドキする,する
4189255,心は沼だ,intp2,1,血を送る,送る
4189255,心は沼だ,intp3,1,動き続ける,動く
